UniqueID,Rank,Pick,Team,Player,College,Years,Games,TOTMP,TOTPTS,TOTTRB,TOTAST,FG%,3P%,FT%,WinShares,WS/48,BoxPlusMinus,VORP,MPG,PPG,RPG,APG,DraftYear
330,2,2,TOR,Marcus Camby,UMass,17,973,28684,9262,9513,1837,0.466,0.205,0.67,81.6,0.137,2.3,31.3,29.5,9.5,9.8,1.9,1996
331,3,3,MEM,Shareef Abdur-Rahim,California,12,830,28882,15028,6239,2109,0.472,0.297,0.81,71.2,0.118,1,21.9,34.8,18.1,7.5,2.5,1996
332,4,4,MIL,Stephon Marbury,Georgia Tech,13,846,31891,16297,2516,6471,0.433,0.325,0.784,77.5,0.117,1.8,30.7,37.7,19.3,3,7.6,1996
333,5,5,MIN,Ray Allen,UConn,18,1300,46344,24505,5272,4361,0.452,0.4,0.894,145.1,0.15,2.9,57.6,35.6,18.9,4.1,3.4,1996
387,1,1,SAS,Tim Duncan,Wake Forest,19,1392,47368,26496,15091,4225,0.506,0.179,0.696,206.4,0.209,5.6,91.1,34,19,10.8,3,1997
388,2,2,PHI,Keith Van Horn,Utah,9,575,18150,9206,3909,900,0.443,0.361,0.835,41.7,0.11,0.1,9.6,31.6,16,6.8,1.6,1997
389,3,3,BOS,Chauncey Billups,Colorado,17,1043,33008,15802,2992,5636,0.415,0.387,0.894,120.8,0.176,3.2,43.5,31.6,15.2,2.9,5.4,1997
390,4,4,MEM,Antonio Daniels,Bowling Green,13,872,19671,6623,1613,2934,0.444,0.311,0.793,47,0.115,0,10.1,22.6,7.6,1.8,3.4,1997
391,5,5,DEN,Tony Battie,Texas Tech,14,837,17649,5082,4287,522,0.488,0.162,0.69,36.4,0.099,-1.8,0.8,21.1,6.1,5.1,0.6,1997
444,1,1,LAC,Michael Olowokandi,University of the Pacific,9,500,13129,4135,3414,327,0.435,NA,0.597,2.5,0.009,-4.6,-8.5,26.3,8.3,6.8,0.7,1998
